ID,Class,PC1,PC2,PC3,PC4,PC5
98,Low,-0.001875,0.651665,0.110172,-0.729757,0.046119
99,Low,1.216406,0.279829,-3.015119,-1.894356,-0.791020
100,Low,0.888590,-0.045673,-1.461403,-0.726026,0.890596
101,High,-1.842167,0.578940,1.121179,1.284440,0.862936
102,Medium,1.098729,0.892712,1.165826,1.046724,0.472873
103,Low,0.302302,-0.767644,-0.314471,-0.126404,-1.747267
104,Low,-0.116926,0.612956,-2.132101,0.085729,-0.095569
105,Low,0.791400,-0.702543,-1.915811,-1.761107,-1.103184
106,Low,-0.399563,-0.500204,-0.355149,-1.368821,-0.762796
107,Medium,-1.089344,1.208245,0.855281,1.116546,0.685686
108,Medium,0.600174,-0.119571,-0.084291,-0.350263,0.799148
109,Low,0.245039,-0.781720,-1.439576,-1.560167,0.076601
110,Low,1.067733,0.625272,-0.047581,0.560630,-0.601352
111,Medium,0.910129,0.807085,0.589383,0.198192,0.769795
112,Low,-0.599720,-0.033944,0.113148,0.287202,0.682863
113,Low,-0.001875,0.323816,0.215341,-0.344400,-0.669655
114,Low,-0.610227,-0.887288,-0.471231,-0.404628,0.557547
115,Low,0.506137,-1.313081,-1.176654,-2.048392,-0.859888
116,Medium,0.927991,1.184198,0.502074,0.355959,1.666205
117,High,-2.665387,1.158393,1.179716,1.473655,1.123730
118,High,-3.120863,1.193582,1.070579,1.322816,1.211226
119,Low,0.323841,-1.133614,-1.677693,-1.466359,0.225626
120,Medium,0.571805,1.211764,0.638991,0.933728,0.195708
121,Low,0.958461,0.227045,-3.058774,-0.428080,0.997849
122,Low,0.452551,0.072798,-0.077345,-0.789452,0.569965
123,Low,1.025705,0.355487,-0.366063,0.015907,-0.977302
124,Low,0.307555,-0.903710,-0.603188,-0.755874,0.991075
125,Medium,0.111075,-0.266194,1.110265,0.703473,-0.224272
126,Medium,0.739391,0.992416,0.580454,1.025937,0.137566
127,Low,0.570229,-1.546504,-0.968302,-1.777630,0.466664
128,Low,0.544487,-0.982300,-0.448412,-1.101256,0.281511
129,Low,0.389509,0.181885,0.370117,0.260020,-1.122376
130,Low,-1.340460,-2.463190,0.113148,0.039892,-1.973063
131,Low,0.448348,-3.599223,-1.600305,-1.304328,-0.758280
132,Low,0.049084,-1.213964,-0.003926,-0.971204,-1.344785
133,Medium,0.508763,1.120857,0.573509,0.826596,0.086197
134,Low,1.052498,0.217661,0.171686,0.527584,-0.863840
135,Low,0.226126,-0.785239,0.221293,-0.428080,1.735638
136,High,-0.001875,0.671605,0.960450,1.227410,0.738748
137,Medium,0.973171,0.737879,1.179716,1.038729,0.057973
138,Medium,-1.584747,1.210591,0.931677,1.149059,0.767537
139,Low,0.813990,0.617648,0.449489,0.612331,-0.057183
140,Low,-0.502531,-0.884942,-0.851227,-1.377348,0.092407
141,Medium,0.655335,1.178334,0.821548,1.056851,0.610609
142,Low,0.073250,-0.978781,-1.231223,-1.488212,-0.413376
143,Low,0.374800,-1.342405,-0.498020,-1.149226,0.164097
144,Low,0.612257,-0.865588,-1.106211,-1.087398,-0.737394
145,Low,0.070098,-1.052092,-1.370125,-1.507400,-0.411683
146,High,-1.338884,1.273345,1.033869,1.136800,1.256950
147,Low,-1.162367,-2.243256,0.024847,-0.242597,-2.516667
148,High,-2.638069,1.310294,1.157889,1.457665,1.278965
149,Low,-0.020787,-0.057990,0.434607,-0.029931,-1.042219
150,Low,0.341177,0.571902,0.177639,-0.012875,0.538354
151,Medium,0.060116,0.364870,-0.223192,-0.441405,1.382267
152,Medium,-0.001875,-0.289067,0.463380,1.594645,0.019023
153,Low,0.962664,0.001246,-1.026839,-1.260089,0.536096
154,Low,0.254495,-0.398741,-1.339368,-0.113612,0.673267
155,Medium,-0.001875,-0.006379,0.279831,1.452868,-0.007508
156,Medium,0.363767,0.609437,0.712411,0.778626,1.199372
157,Low,-0.611803,0.314432,-0.121000,-0.171175,0.678912
158,Low,1.091374,-1.039189,0.996167,0.725859,-0.788198
159,Low,0.864949,-0.006379,-0.135883,-0.497903,-0.007508
160,Low,0.454652,-0.349476,-0.251965,-0.132267,-1.558163
161,Medium,0.556045,0.647559,0.536799,0.361289,-0.888113
162,Low,0.305979,0.245813,-1.626101,0.132100,0.842050
163,Low,-0.099589,0.761925,0.630062,0.777560,-0.021056
164,Low,0.611206,-0.240388,-2.228340,-1.836792,-1.520342
165,Low,0.805585,-1.489028,-1.397905,-1.065012,0.588594
166,Low,-0.034971,-1.594596,-1.104227,-1.002651,-0.782553
167,Medium,-0.001875,0.117371,0.288760,1.501903,0.667622
168,Low,1.134452,-0.746530,0.288760,0.405528,-1.879358
169,Low,1.188038,-0.630405,0.521917,-0.129602,-1.403492
170,High,-0.189949,0.782452,0.472309,1.329745,1.076313
171,Medium,0.852866,0.761925,0.647921,0.097455,1.560646
172,Low,0.127361,-0.311940,-1.786830,-1.716335,-0.848034
173,Low,0.248716,-0.047433,0.133984,-0.639147,-0.280157
174,Medium,-0.128483,-0.269127,-0.201365,-0.343867,1.319044
175,Low,0.841308,-0.911334,0.836430,0.167278,-0.951336
176,Low,1.039890,-4.365181,-1.798736,-1.806411,-2.454573
177,Medium,-0.480992,0.611197,-0.003926,0.003648,0.615125
178,Low,0.338551,-0.761193,-1.506050,-1.857046,-0.621109
179,Medium,0.918009,0.943737,0.708442,0.828728,0.164097
180,Medium,0.424708,-0.067374,-0.404757,-0.399831,1.499116
181,High,0.750949,0.987137,0.595336,0.531848,1.811844
182,Medium,0.686856,-0.336573,1.170787,0.880428,0.084504
183,Low,-0.320761,0.139071,0.258995,0.543574,-0.229353
184,Medium,1.004691,0.008870,0.456434,0.698676,-0.198306
185,Medium,0.333823,-0.163558,0.010956,-0.325745,1.573064
186,Medium,0.247666,0.037608,0.321501,0.741316,1.100022
187,Low,-0.713721,-0.205786,-0.047581,0.182202,-1.273095
188,Medium,0.351684,0.842274,0.422701,-0.102419,1.183566
189,Low,0.413675,0.395368,0.156803,-0.819300,1.132762
