ID,Class,PC1,PC2,PC3,PC4,PC5
428,Medium,1.022028,0.689200,0.098266,0.007379,-0.660623
429,Medium,0.678976,-0.388184,0.671732,-0.071505,0.507871
430,Medium,-2.094859,0.549029,1.150944,1.943758,1.035105
431,Medium,-0.199931,0.906202,-0.492067,0.080932,-1.131973
432,Low,0.410523,0.142004,-1.655866,-1.853315,-0.999317
433,Medium,-0.001875,0.791836,1.191622,1.536015,0.349250
434,Low,0.113177,-0.546537,-1.594352,-1.635852,-0.583288
435,Medium,0.391085,-0.296105,0.180615,-0.476050,-1.026413
436,Low,-2.469432,-0.778787,-1.450489,-2.000955,0.462148
437,Low,1.008369,0.173088,0.039729,-0.042190,-0.867227
438,High,-1.960896,1.326716,0.931677,1.097891,1.126553
439,Low,-0.065967,0.445806,0.419725,-0.120008,0.424891
440,Low,0.387408,-1.229213,-1.070494,-1.110317,0.002653
441,Medium,-0.652255,0.934353,1.150944,1.101089,0.632059
442,Medium,0.837106,0.167809,0.836430,0.028699,1.107360
443,Medium,0.772488,1.294459,0.803689,1.011013,0.920514
444,Low,-0.115875,-0.919545,-0.398804,-1.465826,-1.586387
445,Low,-1.681936,-1.815117,-2.181708,-2.093164,1.155342
446,Low,0.270781,0.534953,0.466356,0.645377,-0.597965
447,Medium,-0.001875,0.356659,0.405834,1.207156,0.006040
448,Low,1.287854,-0.171769,0.583430,0.621392,-0.970528
449,Medium,0.677400,0.763684,0.749120,1.015277,0.188370
450,Low,0.418403,0.315605,-1.056603,0.121973,0.718991
451,Medium,0.622764,0.116198,-0.135883,-0.812371,0.884951
452,Medium,0.908553,0.642867,-0.826423,0.097455,0.874226
453,High,-0.287664,1.469233,1.264049,1.317486,1.113569
454,High,-3.070430,1.381259,1.140030,1.227410,0.852775
455,Low,-2.192049,-2.111882,0.083384,-0.021403,-1.786781
456,High,0.101094,0.882742,0.843375,0.282405,1.672979
457,Medium,0.012835,0.577180,0.183592,0.377812,0.973011
458,High,-1.802766,1.127309,1.080501,1.298831,0.254415
459,Medium,0.185149,0.157839,0.113148,-0.289501,1.422346
460,Low,0.565501,-0.467947,-1.289760,-1.465826,-0.065651
461,Low,-0.001875,-0.988751,-0.769870,-0.689249,0.846001
462,Medium,0.639575,0.702689,0.455442,-0.056581,1.171712
463,Medium,-1.042063,0.682162,0.548705,0.461493,0.478518
464,Low,0.683704,-0.153588,-0.251965,-0.758006,1.369284
465,Low,0.042255,-1.375835,-0.018808,-0.348664,-2.888101
466,Medium,0.590717,0.978340,0.508027,0.595808,1.108489
467,Low,0.526100,0.146696,-1.687615,-0.279907,1.119779
468,Low,0.270255,-0.995203,-1.348297,-1.478618,0.345298
469,Medium,1.101881,0.611197,0.734238,0.303725,0.637704
470,Medium,-0.090658,0.140831,0.258995,-0.668995,1.138972
471,Medium,0.227702,1.171296,1.062642,1.020074,-0.298785
472,Low,-0.846108,-0.301970,-0.628984,-1.032499,0.582949
473,High,-2.569773,1.125549,1.176740,1.305760,0.365055
474,Low,0.481971,-0.145963,0.866195,0.171009,0.952690
475,Medium,0.576008,1.067487,0.617164,0.931596,-0.235562
476,Medium,-1.961421,1.035816,0.942591,0.992358,1.099457
477,Low,0.935871,-0.741252,-1.789807,-0.829427,0.746651
478,Medium,0.925364,1.096811,0.529854,0.823398,-0.558450
479,Low,-0.527747,-0.229245,-1.851320,-1.678492,0.700363
480,Low,1.035162,1.158393,-0.760941,-0.282572,-0.886984
481,Low,0.754626,0.292145,-2.023956,-1.711005,0.171435
482,Low,1.162296,0.049338,-0.325384,-0.331608,0.618512
483,Low,0.829225,-1.370557,-0.957388,-0.821965,0.059666
484,Medium,0.209315,0.378946,0.793767,0.578752,0.803100
485,Low,0.405270,-0.425133,0.095290,-0.207419,-1.914920
486,Low,0.356938,-1.198715,-1.191537,-1.515928,-0.463616
487,Low,0.574432,-2.154696,-5.178019,-1.220647,-1.516955
488,Low,0.069573,-2.316567,0.039729,-0.331075,-1.133666
489,Low,0.747796,-0.453285,-1.070494,-1.260622,0.155630
490,Low,-0.936468,-3.466090,-0.983184,-1.059149,-0.766747
491,Low,-1.279520,0.583632,-0.003926,0.003648,0.531016
492,Medium,-0.079626,1.049306,1.285877,0.949185,0.177645
493,Medium,1.178056,0.912653,0.186568,0.710935,-0.925369
494,Medium,0.131038,-0.123090,-0.193428,-0.254856,1.422346
495,Low,0.369021,-0.128369,0.508027,0.431112,-1.159633
496,High,0.874931,0.602986,1.165826,0.909210,-0.238949
497,Medium,0.936922,0.960745,-0.106118,0.650174,-0.417328
498,Medium,-0.445793,0.913240,1.150944,1.038729,-0.117019
499,Medium,0.732036,0.380119,1.370210,1.077105,-0.111374
500,Medium,0.064845,0.496244,0.270901,-0.030997,1.639674
501,Low,-0.014483,0.283935,-0.296612,-1.215850,-0.187016
502,Low,0.481971,0.152561,-1.180623,-0.132267,0.431101
503,Low,-0.274530,-1.664975,-0.769870,-1.151891,-0.758844
504,Medium,-3.228034,0.733187,1.457520,1.793986,0.935191
505,Low,0.271306,-2.112468,-1.534823,-1.512730,-1.455990
506,Low,-0.614955,-0.489061,-0.559533,-1.011179,0.735361
507,Low,0.837106,0.542577,0.443536,-0.360922,0.216595
508,High,-1.864232,1.187717,1.130108,1.439010,0.860113
509,Low,-0.179967,-0.318978,-0.310502,-0.971737,-2.009755
510,Low,0.070098,-1.713654,-0.248988,-1.053286,-1.457119
511,Medium,1.092424,0.169569,0.547713,0.867104,-0.362008
512,Low,1.048295,0.626445,-0.621047,0.585148,-1.028106
513,Medium,-0.251940,0.238775,0.244113,-0.697244,1.247918
514,Medium,0.533980,-0.351822,1.253136,1.015277,-0.883032
515,Medium,1.001539,0.384225,-0.410710,-0.368917,-1.095281
516,Low,0.440993,0.018841,0.091321,0.003648,0.432230
517,High,0.125260,0.541404,0.960450,0.541975,1.478795
518,Low,0.917484,-0.553575,-0.363086,-0.358790,-1.159068
519,Medium,0.795078,0.862215,1.227340,1.084033,-0.526839
520,Low,0.206688,0.154907,-1.109188,0.178471,-1.151165
521,Low,1.096102,-0.027492,0.083384,0.511061,-1.113909
522,Medium,-0.001875,0.139071,-0.091236,1.168780,0.370136
523,Low,0.860221,0.340824,-0.083298,-0.827828,-0.551112
524,Medium,0.296523,-0.090247,0.302650,-0.107749,-0.020491
525,Low,0.635897,-4.374564,-2.729378,-2.330348,-0.980689
526,Low,0.177794,-1.683157,-0.631961,-0.692980,0.043296
527,High,-2.753120,1.208831,0.808650,1.284440,1.027767
528,Low,0.645354,-0.069720,-0.091236,-0.012875,1.419523
529,Low,0.089011,-0.478504,-0.190451,-0.954682,-1.730332
530,Low,0.553943,-0.870280,-0.895874,-0.859808,0.905273
531,Low,-0.209387,-0.663835,0.116125,-0.391303,1.706849
532,Medium,0.724156,0.833477,0.763011,0.151288,1.324124
533,Low,0.256596,-1.962326,-1.217333,-1.268617,-0.007508
534,Low,-0.000299,-0.893153,-1.597328,-0.867803,-0.371604
535,Low,0.925364,0.178366,-1.298690,-0.977067,0.139824
536,Medium,1.036212,0.774241,0.423693,-0.810239,0.186677
537,Medium,-0.900744,0.936113,1.253136,1.147993,0.506178
538,Low,-0.191525,-0.689054,-0.377969,-0.204754,-0.007508
539,Low,0.273933,0.003592,-0.696451,-0.801178,-1.842101
540,Low,-0.001875,-0.833331,-1.357227,-1.772300,-0.867227
541,Low,0.497731,-1.520112,-0.895874,-1.809076,-0.426924
542,Low,1.191190,0.469852,0.928701,0.796215,-0.204515
543,High,-2.961157,1.213523,1.051728,1.304161,1.282917
544,Low,0.744119,0.285694,-0.512902,-1.049022,-0.945126
545,Medium,-0.457876,0.672192,0.873140,0.980632,-0.933836
546,Low,0.605427,-1.153555,-1.146890,-1.806944,-0.624496
547,Low,0.470413,-0.143617,-0.846266,-1.429582,-0.007508
548,High,-1.720812,1.082736,1.104312,1.266319,0.963980
549,Low,1.116065,1.206485,0.320509,0.514259,-0.641995
550,Low,0.640100,-4.368113,-2.012050,-2.336744,-2.285790
551,Low,0.842884,-0.278510,0.518940,-0.227140,0.468922
552,Medium,-0.001875,0.343757,0.354242,1.545076,0.674961
553,Low,0.633271,-0.184085,-2.415857,0.088394,0.053457
554,High,-1.973504,1.042268,1.062642,1.941093,0.875919
555,Low,0.167287,-0.207545,0.814603,-0.104551,0.856726
556,Medium,1.037788,1.058103,0.756066,0.772763,-1.432846
557,Low,-0.216742,-1.450906,-1.761034,-1.543644,-0.089924
558,Low,0.904350,0.408271,0.463380,0.716798,-0.026701
559,Medium,1.233218,1.011770,0.010956,0.560630,-0.828841
560,Low,0.818718,0.387157,-0.143820,-0.900316,-0.704089
561,High,-1.719236,1.012943,1.157889,1.165582,0.825679
562,Low,0.762506,-0.808112,-2.000144,-1.644913,-2.072978
563,Low,-0.122705,-0.006379,0.407819,-0.136531,-0.007508
564,Medium,0.999963,-0.043914,-0.132906,-0.145592,-1.020203
565,Low,1.214830,0.851658,0.156803,0.666697,-0.932707
566,Low,0.690534,-0.857377,-1.609234,-1.741919,-0.840131
567,Low,0.066946,0.305048,-0.241051,-0.519223,1.377186
568,Medium,0.203536,0.860455,0.211372,0.155552,0.563756
569,High,0.182522,1.269240,1.018987,0.995556,0.400618
570,Low,0.755151,-2.368765,-1.582446,-1.510065,-1.552518
571,Low,-0.073322,-2.432106,-1.758058,-1.572959,-1.663722
572,Low,-0.001875,-0.852685,0.610219,-0.234602,-0.007508
573,Low,-0.313406,0.271032,0.502074,-0.640746,-1.556469
574,Low,-0.001875,-1.156488,-0.025753,-0.003281,-1.051250
575,Medium,1.188563,-0.141858,0.949536,0.942256,-0.369911
576,Low,0.053287,0.385398,0.122078,-0.678589,-0.007508
577,Low,0.702091,-0.998722,-1.567564,-1.104454,-0.179678
578,Low,0.945327,-0.172356,-2.809743,-1.378947,0.523677
579,Low,0.302302,-1.052679,-0.994098,-0.742016,-1.761379
580,Low,-0.354908,-2.197509,-0.924647,-1.795218,-1.307529
581,Low,0.447823,-0.686122,-0.398804,-1.054885,0.758505
582,High,-2.894964,1.217628,0.968387,1.087764,1.059943
583,High,-0.420051,1.197688,0.484215,1.323882,1.169454
584,Low,0.418403,-1.632132,-1.834454,-1.705142,-0.858195
585,Medium,0.933244,-0.596389,-1.271901,-0.785188,0.813261
586,Medium,0.641151,0.270445,0.390952,0.083064,-0.721588
587,High,-0.128483,0.937286,0.773924,1.209821,0.874790
588,Low,0.932719,-0.801660,0.431631,-0.148789,-1.342527
589,Medium,-0.489397,0.086287,0.171686,0.410858,0.678912
590,Medium,0.342228,0.345516,0.625101,0.653905,-2.518925
591,Low,0.668469,0.959572,-0.486114,-0.044855,-0.972786
592,Low,0.681603,-0.556507,1.147967,0.886291,0.039909
593,Medium,0.528726,-0.246840,-0.193428,-0.475517,0.449165
594,Low,-0.092760,0.336132,0.212364,-0.009677,0.011685
595,Low,-0.589213,0.000659,0.317533,-0.069373,-1.443571
596,Medium,-0.249839,1.124963,1.077524,1.090962,0.400054
597,Medium,0.518745,0.062241,0.347297,0.603803,0.770359
598,High,-2.058610,1.123203,1.121179,1.714036,1.017606
599,Medium,0.735188,0.781279,0.712411,0.348497,1.338801
600,Low,0.032798,-0.499031,-0.003926,-0.818234,-1.478569
601,Low,-0.064391,-2.040330,-0.961356,-1.139099,-0.819245
602,Low,0.532404,-0.540672,-0.369039,-1.007981,0.576175
603,Low,0.737289,-0.767058,0.514972,-0.157317,-1.283256
604,Low,1.044092,-0.831572,0.521917,-0.126937,-1.938064
605,Medium,-2.044426,1.038162,1.179716,1.942692,0.723507
606,Low,-0.869749,-1.003413,-0.825431,-0.743615,0.900192
607,Medium,0.138919,-0.135993,0.324478,0.678422,0.728587
608,High,-0.496752,1.207072,1.377155,1.128805,-0.674735
609,Low,0.781944,-1.446214,-0.729192,-1.071941,-1.213824
610,Medium,-0.499379,0.908548,1.121179,1.073907,0.369007
611,Low,-0.448420,-1.890775,-0.526792,-0.846483,-2.878505
612,Low,0.456229,-0.771749,-1.115141,-1.269150,0.629801
613,High,-2.881830,1.143144,0.919771,0.992891,1.655480
614,Medium,0.980000,0.065173,0.474293,0.754108,-0.036862
615,High,-3.094596,1.490347,0.946559,1.062714,1.364768
616,Low,-1.096699,-1.608672,-0.588306,-1.333643,-0.043071
617,Medium,0.650082,0.723216,0.003019,0.665098,-0.020491
618,Low,0.475666,0.601813,-1.532838,-1.557502,-0.332090
619,High,-1.830084,0.689786,1.033869,1.286039,0.523677
620,Medium,1.127097,0.577180,0.580454,0.314918,-0.713685
621,Medium,0.321740,0.073971,-0.173585,-0.258587,0.105390
622,Medium,0.708921,0.713246,1.143006,0.892154,-0.230482
623,Low,0.785096,-1.364692,0.455442,-0.113079,-2.098380
624,Medium,1.162296,0.489793,0.960450,0.892154,-0.692235
625,Medium,-0.001875,0.069279,-0.062463,1.185836,0.102568
626,Medium,0.435215,0.838755,0.472309,0.613397,1.092119
627,Low,1.232692,0.018841,0.261972,0.487609,-1.041090
628,Medium,0.307555,1.024673,0.463380,0.877230,0.178209
629,Low,0.485648,-1.449147,-1.319525,-1.102855,0.200224
630,Low,-0.100115,-0.648000,0.610219,-0.098155,-0.737394
631,Medium,-0.301323,1.048133,0.957473,1.143729,0.304655
632,Low,1.117116,-0.005792,-0.164655,-0.150388,1.381138
633,Low,1.041991,0.911480,-0.699427,-0.197292,-1.235839
634,High,0.380053,0.773068,0.913818,0.351162,1.503632
635,Low,0.353786,0.178953,-0.003926,0.003648,-0.702960
636,Medium,1.101355,0.249918,-0.077345,-0.141861,-0.931014
637,Low,-0.231451,-0.817496,-1.363180,-2.054788,0.115551
638,Medium,-1.916241,1.418795,0.829485,1.097358,1.220258
639,Low,-0.515664,-0.752395,0.610219,-0.211683,-1.292852
640,Low,-0.179442,0.256956,0.463380,-0.075769,-1.488730
641,Low,0.835004,0.344930,0.215341,0.597407,-0.621673
642,Low,-1.081989,0.062827,-1.620148,-2.147530,0.551337
643,High,-3.182329,1.299737,0.969379,1.259923,1.663947
644,High,-1.882094,1.093292,1.081493,1.217816,0.512952
645,High,-2.468381,1.149595,1.136061,1.440076,1.382267
646,Low,0.384256,0.101536,-1.684638,-2.157657,-1.283256
647,Low,1.128148,0.451671,0.858258,0.842053,0.272479
648,Low,-0.001875,-0.188191,0.554658,-0.129069,0.350943
649,Medium,0.777216,0.562518,0.347297,-0.718031,-0.267174
650,Medium,0.594920,-2.009246,-1.304642,-0.942423,-1.213259
651,Medium,0.235583,1.202966,0.796744,0.862307,0.237481
652,Medium,-0.835076,0.269859,1.633131,1.090429,-0.145244
653,Low,-0.001875,0.098603,0.741183,0.245629,1.035105
654,Low,0.874931,-1.204580,-2.123171,-1.052753,-0.943433
655,Low,0.808737,-1.562926,-2.243222,-1.280876,0.518597
656,Medium,0.108974,0.446979,0.601289,0.619793,-2.340546
657,Low,0.441519,-2.511869,-1.400882,-1.839990,-0.000170
658,High,-0.001875,0.570142,0.361187,1.230608,0.564885
659,High,0.511390,0.688613,0.867187,0.308522,1.355171
660,Low,0.705769,-0.778787,0.168709,0.172608,-0.955852
661,Medium,1.004691,0.516185,-0.465278,-0.316151,-0.839567
662,Medium,0.550791,-0.292586,1.156897,0.950784,-0.409425
663,Low,0.647455,0.539058,0.463380,-0.182901,0.534403
664,Low,-0.154751,-0.782306,-1.132999,-1.122043,0.068698
665,Medium,0.089536,0.707968,0.024847,0.274943,0.551337
666,Low,0.391611,-1.099011,-2.524994,-1.441308,0.546257
667,Medium,0.409473,0.841101,0.076439,0.528650,0.286591
668,Low,-0.816689,-0.006379,-1.289760,-1.267018,-0.007508
669,Medium,0.675824,-0.249186,-0.018808,0.060678,1.551614
670,Medium,-0.011856,0.736119,0.168709,-0.513360,-1.530503
671,Low,-0.001875,-0.006379,0.244113,-0.246861,-0.007508
672,Low,0.619612,-0.591697,-0.833368,-1.478085,0.326670
673,Low,0.521897,-1.904850,-1.246105,-1.157754,-1.159633
674,Medium,0.576533,0.129687,1.281908,1.042993,0.099181
675,Low,-0.859242,-1.033911,-0.720263,-1.335775,0.257238
676,Low,-0.001875,0.867493,0.927709,0.431112,-0.007508
677,Medium,0.065370,1.090946,0.324478,0.077734,1.737331
678,Low,0.558146,0.056963,-0.055518,-0.012875,1.403717
679,High,-1.436599,1.114406,0.975332,1.182638,0.828502
680,Low,-0.001875,0.254024,0.557634,-0.036327,-0.533048
681,Medium,-0.751546,0.648146,1.578563,1.040861,0.267963
682,Low,0.661114,0.192442,0.569540,-0.133866,-0.849163
683,Medium,0.626441,0.758406,0.247090,-0.137597,1.446619
684,Low,1.065106,0.829958,-0.427577,0.596874,-0.820938
685,Low,-0.846108,-0.865002,-0.515878,-0.444070,0.573917
686,Low,-1.239593,-0.591697,-0.654780,-1.344836,0.140388
687,Medium,0.862322,0.442874,0.036752,0.702407,1.674673
688,Low,-0.475213,-0.702543,-0.412694,-1.515395,-0.319671
689,Low,-0.622835,0.390676,-0.274785,-1.178540,-0.627883
690,Low,0.352210,0.433490,0.222286,0.737585,-0.602481
691,Medium,-0.001875,0.450498,0.270901,1.425685,-0.007508
692,Low,0.230329,-1.162353,-0.628984,-1.262221,-1.867503
693,High,-0.362263,1.174815,0.990214,1.284973,0.696411
694,Low,1.165448,0.637589,0.341344,0.404995,-1.062540
695,Low,0.588616,-0.419855,-0.983184,-1.254759,0.165790
696,Medium,0.449399,0.626445,0.039729,0.003648,1.010268
697,Low,0.776691,-1.121885,-1.403858,-1.014910,-0.221450
698,Low,0.148375,-1.792244,-0.065440,-0.425948,0.524242
699,Low,-0.318659,0.828785,0.548705,0.731722,-0.113632
700,Medium,-0.001875,1.134933,0.054611,-0.512294,1.141229
701,Medium,0.807161,0.590083,1.107289,1.085099,0.603835
702,Low,1.042516,0.683335,-0.205334,-0.885392,-0.706347
703,Medium,0.755677,0.944910,0.548705,0.503599,1.187518
704,Low,0.069573,-0.645067,-0.631961,-1.561233,-1.331802
705,Low,0.132089,-0.726590,-0.427577,-1.564431,-1.527116
706,Low,-0.517241,-0.765298,-0.869086,-1.171611,-0.351847
707,Low,1.119217,0.479236,0.963426,0.793017,0.115551
708,Low,-0.875002,-1.079071,-1.011956,-0.751610,0.764150
709,Low,-3.692441,-0.520731,-0.749035,-1.678492,0.914869
710,Low,0.927465,-0.231005,0.413772,0.204055,-1.728074
711,Low,-3.229610,-2.021562,-1.011956,-1.779762,-0.434827
712,Medium,0.657962,-0.354168,-0.445435,-0.409425,1.339366
713,Medium,1.170176,0.134966,-0.244028,-0.263917,-0.855937
714,Low,0.911705,-1.531255,-0.628984,-0.678056,-0.311768
715,Low,-0.750495,-1.233904,-0.457341,-1.302729,0.476260
716,Low,0.346956,-0.128369,-1.432631,0.188598,0.339653
717,Low,-0.071220,-0.743011,-0.903811,-1.180139,-0.294269
718,Medium,-0.001875,0.351381,1.530939,1.902184,0.335137
719,Low,0.757253,-0.648586,-1.944583,-1.617730,-1.241484
720,Medium,0.338025,-0.125436,-0.091236,0.610732,0.175951
721,Low,1.324103,0.719111,0.347297,0.614996,-0.753764
722,Low,0.367970,-0.777614,-1.381038,-1.088997,0.094100
723,Low,0.003904,-2.098392,-0.866110,-1.135368,-0.650462
724,High,-0.312880,1.095052,1.062642,1.076039,0.275302
725,High,-2.741037,1.209418,1.074548,1.166115,1.117521
726,High,-2.738410,1.038749,1.238253,1.282309,1.172841
727,Low,1.010996,-0.781133,0.270901,0.273344,-1.706624
728,Low,0.093213,-0.325430,0.463380,0.191263,-1.297368
729,Low,0.057490,0.914413,0.282807,-0.077368,0.768101
730,Low,-0.001875,-0.148309,0.610219,-0.202089,-0.007508
731,Medium,0.792451,0.078663,1.398983,1.116013,0.063618
732,Low,-0.759426,-0.140685,-0.511910,-0.931763,0.179338
733,Low,0.864949,0.062241,-1.649913,-0.753742,1.241709
734,Low,-0.190474,-0.445660,0.441552,0.157151,-1.424943
735,Low,1.149687,-0.274405,0.367140,0.526518,-1.075523
736,Medium,-0.672743,1.116752,1.136061,1.086165,0.734232
737,Medium,1.162821,0.266926,0.493144,0.791418,-0.459665
738,Medium,-0.001875,-0.006379,0.960450,1.326014,-0.007508
739,Medium,0.567077,0.261061,0.311580,0.510528,0.882128
740,High,-2.809857,1.229358,1.002120,1.268984,1.224210
741,Medium,0.850239,0.896818,0.511003,0.559564,-0.033475
742,Low,-0.891288,-0.240388,0.536799,0.150222,-1.117860
743,Medium,0.152052,0.140244,0.063541,-0.354526,1.427426
744,Medium,1.137604,-0.446247,-0.003926,-0.342801,-0.874565
745,Medium,0.104771,0.600053,0.262964,0.168344,0.230707
746,Low,1.024129,0.419414,-0.272800,0.113445,-1.041090
747,Medium,0.866000,0.892126,0.434607,0.541442,-0.099520
748,Low,0.822921,-0.341851,1.194598,0.914540,0.069827
749,Low,0.528201,-1.611018,-1.678685,-1.897021,-0.228224
750,Medium,-0.235654,0.393608,0.741183,0.491873,1.028331
751,High,0.034374,0.768963,0.960450,0.522254,1.350655
752,Medium,0.933769,0.216488,0.543744,0.147557,-0.818116
753,High,-2.722124,1.346657,1.136061,1.195430,1.303803
754,Low,0.854442,-0.063855,1.037838,0.739184,-0.566918
755,Medium,0.398440,-0.038636,1.340445,1.029135,0.174822
756,Medium,0.110550,0.488034,0.224270,0.318649,1.062765
757,High,-1.402977,1.062795,1.103320,1.212486,0.702621
758,Low,0.560773,-0.724244,0.840399,0.219512,-1.016252
759,Medium,0.656911,0.875118,0.317533,0.053750,1.720961
760,Low,0.832903,-1.323638,-0.948458,-0.968539,-0.135647
761,Low,-0.085930,-1.120712,-1.158796,-1.986031,1.357994
762,Medium,-0.145294,0.700343,-0.003926,1.215151,1.053169
763,Medium,-0.826145,1.021154,1.172771,1.135201,0.129099
764,Medium,-0.001875,0.080422,-0.032698,1.208755,0.143775
765,Low,0.313334,-0.555334,-0.260894,-0.158383,-1.001011
766,Medium,0.556570,0.900337,0.843375,0.883626,-0.584982
767,Low,-0.001875,-0.292586,-0.767886,-1.598009,-2.422397
768,Low,0.585464,-3.152903,-1.927716,-1.780295,-0.788762
769,Low,1.138130,0.024119,-0.523816,-1.337907,-1.623079
770,Low,1.180157,-0.021041,0.529854,0.066541,-0.834486
771,Low,-0.001875,0.705035,-0.235098,-0.860874,-0.053796
772,Low,0.808211,-1.721865,-0.547627,-1.198261,0.584642
773,Medium,-0.017635,0.439355,0.820556,0.598473,1.327511
774,Medium,-0.001875,0.107987,0.990214,1.298298,0.245948
775,Medium,0.419454,0.663394,-0.179538,0.587813,-0.228224
776,Medium,0.970544,-0.199334,0.990214,0.055349,1.079136
777,Medium,0.669520,0.426452,-0.705380,0.418320,-0.924240
778,High,-2.084878,1.156633,1.048752,1.426218,1.403153
779,Medium,0.687381,0.876291,0.616172,0.062277,1.692736
780,Low,0.795078,-1.493134,-0.683553,-0.689249,-0.626754
781,Medium,1.092424,0.537299,0.215341,-0.013408,0.436181
782,Low,0.270781,-1.080830,-0.717286,-1.054352,-2.311192
783,Low,0.633796,0.726149,-2.313665,-1.430648,-0.379507
784,Low,0.622764,-2.077865,-1.555658,-1.863442,0.446342
785,Low,-0.204133,-2.154109,-2.067610,-1.160952,-0.763925
786,Medium,-2.757323,0.787144,1.442637,1.537614,0.891725
787,Low,0.780368,-0.978194,-0.723239,-1.065545,-1.678399
788,High,0.294947,1.066314,0.750113,0.182735,1.564597
789,Low,0.898046,-0.167664,-0.983184,-1.432247,-0.444423
790,Medium,-0.001875,0.251678,0.024847,1.191166,0.481340
791,High,-2.555589,1.250472,1.200551,1.486980,1.301545
792,Medium,0.058540,0.198893,-0.526792,-0.437674,1.551049
793,Medium,-1.699798,1.165431,0.882069,1.086165,0.864065
794,Low,0.753050,-0.079690,-0.293635,-0.684452,0.805922
795,Medium,0.328569,0.912653,0.820556,0.875631,-0.667962
796,Low,0.088485,-0.083209,0.200458,-0.795848,0.908095
797,High,-1.778600,1.195928,1.033869,1.951220,0.625850
798,Low,-0.066492,-2.846755,-0.585329,-1.135901,-0.483373
799,Medium,-1.441852,0.841688,0.907865,1.123475,0.842614
800,Low,1.089798,0.278070,0.258995,0.356492,-1.340834
801,Medium,0.110550,0.778933,0.141921,0.343167,1.064459
802,Medium,0.498256,-0.686122,0.124062,-0.646609,1.172841
803,Low,0.871253,-1.992237,-1.173678,-1.504735,-0.126615
804,Medium,-0.580808,0.602986,0.719356,0.790352,-0.835615
805,Low,0.166762,0.391262,0.752097,0.746113,-3.090753
806,High,-1.926748,0.913240,1.187653,1.342004,0.593110
807,Low,-0.444743,0.978927,0.277846,0.343167,-1.443571
808,Medium,0.251343,0.977167,0.376070,0.894286,-0.602481
809,Medium,-0.001875,0.906788,0.478262,-0.012342,-0.850292
810,Low,-1.249050,-1.490788,-1.220309,-1.079403,-1.058589
811,Medium,0.526100,1.100330,1.037838,0.996622,-0.495792
812,Low,0.678976,-1.054438,-1.421717,-1.786157,0.203047
813,Medium,0.046983,0.074557,0.767971,0.535579,1.009703
814,Medium,0.041729,0.337892,1.129116,0.778626,-0.280721
815,Low,0.922737,1.106782,0.390952,0.501467,-1.065927
816,Low,0.420505,-0.372935,-1.962442,-1.427983,0.082810
817,High,-2.295017,0.801220,1.187653,1.956550,0.703185
818,Low,1.033585,-0.036876,-2.839508,-1.804812,0.072085
819,Low,0.913281,0.373668,0.463380,-0.175972,1.075749
820,Medium,-0.001875,0.888020,0.993191,0.829261,-0.259835
821,Medium,0.507713,0.540231,1.048752,0.658169,1.211226
822,High,-2.275054,1.127895,0.925724,0.992891,1.265417
823,Low,0.569178,-1.408679,-0.738121,-0.716965,0.211514
824,Low,0.577058,0.022360,-1.900928,-1.664101,-0.282979
825,Medium,-0.212014,0.170155,-0.649819,-0.473385,1.315092
826,Medium,-0.448945,-0.118398,0.317533,-0.233536,1.666205
827,High,-0.135838,1.220561,0.302650,-0.068840,1.446054
828,Medium,0.695787,-0.113120,0.709434,-0.030464,0.854468
829,Low,0.499832,-3.556996,-3.009166,-2.027605,-1.451474
830,Medium,0.646930,0.743744,0.799720,0.803677,1.748621
831,Medium,0.943226,0.834650,0.545728,0.691214,-0.391361
832,Low,-0.001875,1.141385,-0.392851,-0.140795,-1.077217
833,Low,0.041204,0.574248,0.036752,0.102785,1.093812
834,Low,0.170965,-0.879664,-0.003926,-0.271912,-0.971657
835,Medium,0.595446,1.079217,0.350274,0.468954,0.919949
836,Low,-0.373821,0.035849,0.497113,0.081998,-1.129150
837,Low,-0.001875,-0.320738,0.705466,0.145958,0.278688
838,Medium,0.958986,0.644627,-0.241051,0.673092,0.936884
839,Medium,1.055125,0.707968,0.431631,0.049486,0.935755
840,High,-2.384851,0.949602,1.124155,1.198628,1.059943
841,Medium,-0.395360,0.234083,0.280823,-0.615695,1.353478
842,Medium,-0.226723,0.576594,0.317533,-0.047520,1.170018
843,Low,0.384781,0.078076,-0.003926,-0.587446,-1.196324
844,Low,0.559722,-2.749398,-3.058774,-2.049991,-1.682350
845,Medium,0.290744,-0.104909,1.374179,1.082434,-0.711427
846,High,-1.916241,1.111474,1.059665,1.200760,0.800842
847,Low,-0.328641,-1.232145,0.291737,0.137963,-0.748684
848,Medium,-0.001875,0.235256,0.285784,1.925103,0.288849
849,Medium,-1.219630,0.556066,1.146975,1.337207,0.624721
850,Low,0.479869,-0.503137,-1.271901,0.220045,-0.282415
851,Medium,-0.682725,-0.317805,0.369125,-0.214348,1.636287
852,Medium,0.947428,1.067487,0.524893,0.438041,1.308883
853,Low,0.776691,-1.155315,-2.055705,-1.661969,-1.487037
854,Medium,-0.714771,0.458709,0.560611,0.489208,0.377474
855,Medium,0.374274,0.658116,0.982277,0.560097,0.963980
856,Low,0.405795,-0.008138,-0.171600,-0.096556,-1.104877
857,Medium,0.767234,0.865147,0.463380,-0.162114,0.455374
